financial_year,council,Estimated resident population (no.),premises_residential,premises_with_garbage_service_residential,garbage_service_frequency,garbage_collected_total_tonnes,kerbside_organics_premises_residential,kerbside_organics_bin_frequency,kerbside_organics_fogo_included,kerbside_organics_collected_tonnes,Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (%),Median employee income ($),Mean employee income ($),Employee income as main source of income (%),Total income (excl. Government pensions and allowances) ($m),Christianity (%),Islam (%),Hinduism (%),Buddhism (%),"Secular beliefs, other spiritual beliefs or no religion (%)",Born in Oceania and Antarctica (excluding Australia) (%),Born in North-West Europe (%),Born in Southern and Eastern Europe (%),Born in North Africa and the Middle East (%),Born in South-East Asia (%),Born in North-East Asia (%),Born in Southern and Central Asia (%),Born in Americas (%),Born in Sub-Saharan Africa (%),Total born overseas (%),Speaks a language other than English at home (%),Net internal migration (no.),Total households (no.),Average household size (no. of persons),Lone person households (no.),Group households (no.),Family households (no.),Total families (no.),Average family size (no. of persons)
2018-2019,ALPINE SHIRE COUNCIL,"13,166",7085,5368,Weekly,2204.0,,,,,2.7,48.8,58.9,"42,526","50,135",69.4,392.6,40.9,0.2,0.5,0.6,48.5,1.4,6.3,2.6,0.1,1.4,0.4,0.6,1.0,0.4,14.2,6.9,155,"5,222",2.3,"1,528",131,"3,567","3,617",2.7
2019-2020,ALPINE SHIRE COUNCIL,"13,166",7333,6285,Weekly,2085.0,0.0,,,0.0,2.7,48.8,58.9,"42,526","50,135",69.4,392.6,40.9,0.2,0.5,0.6,48.5,1.4,6.3,2.6,0.1,1.4,0.4,0.6,1.0,0.4,14.2,6.9,155,"5,222",2.3,"1,528",131,"3,567","3,617",2.7
2020-2021,ALPINE SHIRE COUNCIL,"13,166",7409,6362,Weekly,2213.0,,,,,2.7,48.8,58.9,"42,526","50,135",69.4,392.6,40.9,0.2,0.5,0.6,48.5,1.4,6.3,2.6,0.1,1.4,0.4,0.6,1.0,0.4,14.2,6.9,155,"5,222",2.3,"1,528",131,"3,567","3,617",2.7
2021-2022,ALPINE SHIRE COUNCIL,"13,166",5384,4257,Weekly,2259.1,,,,,2.7,48.8,58.9,"42,526","50,135",69.4,392.6,40.9,0.2,0.5,0.6,48.5,1.4,6.3,2.6,0.1,1.4,0.4,0.6,1.0,0.4,14.2,6.9,155,"5,222",2.3,"1,528",131,"3,567","3,617",2.7
2022-2023,ALPINE SHIRE COUNCIL,"13,166",5338,6933,Weekly,2110.0,,,,,2.7,48.8,58.9,"42,526","50,135",69.4,392.6,40.9,0.2,0.5,0.6,48.5,1.4,6.3,2.6,0.1,1.4,0.4,0.6,1.0,0.4,14.2,6.9,155,"5,222",2.3,"1,528",131,"3,567","3,617",2.7
2018-2019,ARARAT RURAL CITY COUNCIL,"11,827",5612,4411,Weekly,2600.92,,,,,2.8,46.2,60.6,"46,711","51,689",73.4,341.3,38.4,0.7,0.7,0.5,44.6,2.1,3.3,0.9,0.4,1.3,0.8,1.7,0.4,0.3,11.3,5.0,-5,"4,541",2.2,"1,473",127,"2,939","2,973",2.8
2019-2020,ARARAT RURAL CITY COUNCIL,"11,827",5618,4433,Weekly,2796.96,,,,,2.8,46.2,60.6,"46,711","51,689",73.4,341.3,38.4,0.7,0.7,0.5,44.6,2.1,3.3,0.9,0.4,1.3,0.8,1.7,0.4,0.3,11.3,5.0,-5,"4,541",2.2,"1,473",127,"2,939","2,973",2.8
2020-2021,ARARAT RURAL CITY COUNCIL,"11,827",5628,4465,Weekly,3041.29,,,,,2.8,46.2,60.6,"46,711","51,689",73.4,341.3,38.4,0.7,0.7,0.5,44.6,2.1,3.3,0.9,0.4,1.3,0.8,1.7,0.4,0.3,11.3,5.0,-5,"4,541",2.2,"1,473",127,"2,939","2,973",2.8
2021-2022,ARARAT RURAL CITY COUNCIL,"11,827",4763,4284,Weekly,2985.91,0.0,Other,No,,2.8,46.2,60.6,"46,711","51,689",73.4,341.3,38.4,0.7,0.7,0.5,44.6,2.1,3.3,0.9,0.4,1.3,0.8,1.7,0.4,0.3,11.3,5.0,-5,"4,541",2.2,"1,473",127,"2,939","2,973",2.8
2022-2023,ARARAT RURAL CITY COUNCIL,"11,827",4358,4665,Weekly,2559.0,4358.0,Fortnightly,No,540.0,2.8,46.2,60.6,"46,711","51,689",73.4,341.3,38.4,0.7,0.7,0.5,44.6,2.1,3.3,0.9,0.4,1.3,0.8,1.7,0.4,0.3,11.3,5.0,-5,"4,541",2.2,"1,473",127,"2,939","2,973",2.8
