financial_year_waste,council,topology,Median age - persons (years),Average household size (no. of persons),Estimated resident population (no.),Christianity (%),Islam (%),Hinduism (%),Buddhism (%),"Secular beliefs, other spiritual beliefs or no religion (%)",Born in Oceania and Antarctica (excluding Australia) (%),Born in North-West Europe (%),Born in Southern and Eastern Europe (%),Born in North Africa and the Middle East (%),Born in South-East Asia (%),Born in North-East Asia (%),Born in Southern and Central Asia (%),Born in Americas (%),Born in Sub-Saharan Africa (%),Total born overseas (%),Speaks a language other than English at home (%),Net internal migration (no.),Median employee income ($),Mean employee income ($),Employee income as main source of income (%),Total income (excl. Government pensions and allowances) ($m),premises_residential,premises_with_garbage_service_residential,garbage_service_frequency,garbage_collected_total_tonnes,kerbside_organics_premises_residential,kerbside_organics_bin_frequency,kerbside_organics_fogo_included,kerbside_organics_collected_tonnes
2018-2019,Alpine Shire Council,Rural Area,48.8,2.3,"13,166",40.9,0.2,0.5,0.6,48.5,1.4,6.3,2.6,0.1,1.4,0.4,0.6,1.0,0.4,14.2,6.9,155,"42,526","50,135",69.4,392.6,7085,5368,Weekly,2204.0,,,,
2019-2020,Alpine Shire Council,Rural Area,48.8,2.3,"13,166",40.9,0.2,0.5,0.6,48.5,1.4,6.3,2.6,0.1,1.4,0.4,0.6,1.0,0.4,14.2,6.9,155,"42,526","50,135",69.4,392.6,7333,6285,Weekly,2085.0,0.0,,,0.0
2020-2021,Alpine Shire Council,Rural Area,48.8,2.3,"13,166",40.9,0.2,0.5,0.6,48.5,1.4,6.3,2.6,0.1,1.4,0.4,0.6,1.0,0.4,14.2,6.9,155,"42,526","50,135",69.4,392.6,7409,6362,Weekly,2213.0,,,,
2021-2022,Alpine Shire Council,Rural Area,48.8,2.3,"13,166",40.9,0.2,0.5,0.6,48.5,1.4,6.3,2.6,0.1,1.4,0.4,0.6,1.0,0.4,14.2,6.9,155,"42,526","50,135",69.4,392.6,5384,4257,Weekly,2259.1,,,,
2022-2023,Alpine Shire Council,Rural Area,48.8,2.3,"13,166",40.9,0.2,0.5,0.6,48.5,1.4,6.3,2.6,0.1,1.4,0.4,0.6,1.0,0.4,14.2,6.9,155,"42,526","50,135",69.4,392.6,5338,6933,Weekly,2110.0,,,,
2018-2019,Ararat Rural City Council,Rural Area,46.2,2.2,"11,827",38.4,0.7,0.7,0.5,44.6,2.1,3.3,0.9,0.4,1.3,0.8,1.7,0.4,0.3,11.3,5.0,-5,"46,711","51,689",73.4,341.3,5612,4411,Weekly,2600.92,,,,
2019-2020,Ararat Rural City Council,Rural Area,46.2,2.2,"11,827",38.4,0.7,0.7,0.5,44.6,2.1,3.3,0.9,0.4,1.3,0.8,1.7,0.4,0.3,11.3,5.0,-5,"46,711","51,689",73.4,341.3,5618,4433,Weekly,2796.96,,,,
2020-2021,Ararat Rural City Council,Rural Area,46.2,2.2,"11,827",38.4,0.7,0.7,0.5,44.6,2.1,3.3,0.9,0.4,1.3,0.8,1.7,0.4,0.3,11.3,5.0,-5,"46,711","51,689",73.4,341.3,5628,4465,Weekly,3041.29,,,,
2021-2022,Ararat Rural City Council,Rural Area,46.2,2.2,"11,827",38.4,0.7,0.7,0.5,44.6,2.1,3.3,0.9,0.4,1.3,0.8,1.7,0.4,0.3,11.3,5.0,-5,"46,711","51,689",73.4,341.3,4763,4284,Weekly,2985.91,0.0,Other,No,
2022-2023,Ararat Rural City Council,Rural Area,46.2,2.2,"11,827",38.4,0.7,0.7,0.5,44.6,2.1,3.3,0.9,0.4,1.3,0.8,1.7,0.4,0.3,11.3,5.0,-5,"46,711","51,689",73.4,341.3,4358,4665,Weekly,2559.0,4358.0,Fortnightly,No,540.0
2018-2019,Ballarat City Council,Regional City,38.5,2.4,"113,504",42.0,0.7,1.2,0.8,48.0,1.0,3.7,0.7,0.3,1.3,0.9,2.3,0.6,0.6,11.3,7.0,"1,678","51,302","58,747",79.2,"3,721.70",47314,45900,Weekly,19438.66,35389.0,Fortnightly,No,8885.22
2019-2020,Ballarat City Council,Regional City,38.5,2.4,"113,504",42.0,0.7,1.2,0.8,48.0,1.0,3.7,0.7,0.3,1.3,0.9,2.3,0.6,0.6,11.3,7.0,"1,678","51,302","58,747",79.2,"3,721.70",48495,46768,Fortnightly,21884.82,37461.0,Fortnightly,No,10748.93
